Estimate,Std. Error,t value,Pr(>|t|)
278.789254246453,0.403771000952373,690.46378662379,0
0.821435253285606,0.127893561864221,6.42280378552354,1.39113868460192e-10
-20.0625538977716,2.40618342229343,-8.33791543566086,8.42903332372548e-17
-0.184889619600108,0.376179257673552,-0.491493392654187,0.623086993240046
3.79031046007506,35.82986966323,0.105786331228685,0.915753744581076
66.6336573585774,31.8570874142766,2.09164310886487,0.0364925412874369
-78.8075161677519,41.9609956995499,-1.87811358748566,0.0603911493679548
14.5829745238386,12.4544875296339,1.17090121043843,0.241662979872741
-23.6257275194172,9.04270446880965,-2.61268380503949,0.00899523391044744
7.00715971389395,21.388509503921,0.327613278176742,0.743210101177992
1.1521106924095,0.380645548247542,3.02672840313965,0.00247768241826022
0.51566638038746,0.399300891744745,1.29142306227831,0.196583219926996
1.58222471623275,0.428688138299578,3.6908525682767,0.000224546062349137
0.811726374854292,0.477910982263442,1.6984886411479,0.0894428819187989
1.40678873997508,0.607111266170001,2.31718437519682,0.0205113285393244
1.27811019414163,0.435953768098574,2.93175627249685,0.00337721437354731
5.09332701784945,2.34396183872312,2.17295645931849,0.0298041336718198
0.00377631865523403,0.36824592755027,0.010254882329197,0.991818110692847
